text,text_clean,sentimen,emosi,created_at,uid,uniqueId,videoWebUrl,cid,avatarThumbnail
"kalian teriak out juga percuma, mafianya dah kenyang",kalian teriak out percuma mafia kenyang,negatif,netral,2025-01-08 11:51:56+00:00,7452350625485980690,freeroam_sandbox,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457511012876239621,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/795f6ba9f8f1529110caf16d6a41d975~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1b7a468f&x-expires=1746172800&x-signature=IoLioTIEReou5AYEWqYqZKsLGn4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
#kluivertout,kluivertout,netral,netral,2025-01-08 19:08:58+00:00,6951086390696559617,dhy_boys,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457623690444833542,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/db1846834b57721b6ae499e7c6eacad4~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=d306b620&x-expires=1746172800&x-signature=FlKPiVkbmqmqVvAzOcj4MHa6rJc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
awas aja kalo kalah lawan dek bahrain,awas kalah lawan dek bahrain,negatif,netral,2025-01-08 09:35:49+00:00,7321708004759389189,gabutnya_diraa,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457476000012567304,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=39a79f58&x-expires=1746176400&x-signature=MxEmASr8pRPfFwM%2BOXHB9tMK%2Bms%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
KEMBALIKAN SHIN TAE YOUNG,kembali shin tae young,netral,netral,2025-01-08 15:16:33+00:00,6842505961769780226,pie.aplee,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457563814222938888,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/044eee012b896ca430a0e3f111729287~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=ed433f16&x-expires=1746172800&x-signature=1L0edWHSQkBcw6Yo3jkS7pfgSBI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
"ingat dia datang sebagai pelatih bukan pemain,jadi klo dari segi permainan kt tau tapi bukan sebagai melatih",ingat datang latih bukan pemainjadi klo segi main kt tapi bukan latih,netral,netral,2025-01-08 09:57:38+00:00,7082010722273084442,arknhbib,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457481622623945479,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/0fee30661be4a0f1f831cb56b02b0f65~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1e004143&x-expires=1746172800&x-signature=XCxCkaykuc9Bq4hK9aCJMZSksCk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
ga woi ga mau😭😭,woi mau,netral,netral,2025-01-08 11:01:47+00:00,307458167066533888,blu3berriez_,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457498135071245072,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8455421cdd6eb533beff8fa203fca944~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=c7f0432a&x-expires=1746176400&x-signature=stLGBo7URZqsbNbfQN%2B%2B21JziXg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
tetap kasih support yang terbaik untuk timnas ku🔥🔥🔥🔥,tetap kasih support baik timnas ku,positif,netral,2025-01-08 08:38:38+00:00,6894965852266775554,malik_alfajri,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457461234201281287,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/294498345724e27d5a34a0419c15c026~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=42c959f8&x-expires=1746172800&x-signature=K5Y5jobdSuboD2vmFHwqZF3Y%2BZE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Video pas ngelatihnya mana bang?,video pas ngelatihnya mana bang,netral,netral,2025-01-08 10:42:07+00:00,6973318118471123969,aan_dandy,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457493069383959314,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5906ddf9695b4a2979f3125a631201d6~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=e336024d&x-expires=1746176400&x-signature=GuESDIsKsij7nHvjYtDBqvDZtwQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
jir mimpi apa indonesia. pelatih yang bakal bawa indonesia ke piala dunia ini. mantap banget ini pelatihnya. gua pernah liat langsung,jir mimpi indonesia latih bakal bawa indonesia piala dunia mantap latih pernah liat langsung,positif,netral,2025-01-09 10:11:32+00:00,7368869219788915718,laler47,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457856257380369170,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7382996958976573445~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=7d3afc48&x-expires=1746172800&x-signature=N7B8atBZoesPiBcBc5cVOnMIhaU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
"hoalah tenan i bajingan""",hoalah tenan i bajing,netral,netral,2025-01-08 11:32:44+00:00,7393014757819319302,megawatzy612,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457506069926593286,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6a68fa9b4e8b7023a6242a3c6ba92af8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2eb86618&x-expires=1746176400&x-signature=0LMWWZ1JhDVuA31BerXt7zFYHww%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
