avatarThumbnail,cid,createTime,createTimeISO,diggCount,input,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,text,uid,uniqueId,videoWebUrl,text_clean,sentimen
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/56f0954057b1dc5007acb9448778741e~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=f79b6902&x-expires=1746172800&x-signature=uCdwjGg5kpGT1rm6L2QHhGUbgJA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457459417215386374,1736325100,2025-01-08T08:31:40.000Z,36694,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,503.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,emang se bagus apah patrick kluivert?,7297085676344230914,nanaaa_ardiansyah02,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,emang se bagus apah patrick kluivert,positif
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2238e2a7e3c52017bce21c9ed498c7f7~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=db6f7206&x-expires=1746172800&x-signature=m6SLCYRcR7ZusZC7ql6y3L9o03k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457491483680211719,1736332553,2025-01-08T10:35:53.000Z,371,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,20.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,"Head Coach : Patrick Kluivert
Asisten Pelatih : Alex Pastoor
Staf Pelatih : Denny Landzaat
Dirtek : Louis Van Gaal",7187780056881677338,azissfebrian,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,head coach patrick kluivert asisten latih alex pastoor staf latih denny landzaat dirtek louis van gaal,negatif
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ac90f74d196f5019a89393677aac3890~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=aa9693b2&x-expires=1746172800&x-signature=eJ%2BPLUg53pys%2FxfjqWjt0Li2NVA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457460005840536328,1736325231,2025-01-08T08:33:51.000Z,2203,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,17.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,beneran nih pelatih nya Patrick Kluivert? 🗿,7331332939320804354,persijafootball1,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,beneran latih patrick kluivert,netral
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c1336f3a786f06dc7289b4ad6a9bd899~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=38f31420&x-expires=1746172800&x-signature=Q1Ms80fC9B1RI3vd7k2hsXjA%2BRQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457461161899098886,1736325513,2025-01-08T08:38:33.000Z,6112,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,130.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,jadi gini sebenernya ini yg menjadi pelatih utamaya si alex pastoor dan sengaja dijadikn asisten sedangkan sipatrick ini untuk menarik minta pemain grade a dan s keturunan supaya bisa bergabung,6785873202884838402,erexxx_,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,gin sebenernya jadi latih utamaya alex pastoor sengaja dijadikn asisten sedang sipatrick tarik minta main grade a s turun supaya gabung,negatif
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0ef8a284a87283a45a5c7bfeeb75f5e5~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=ba4a0782&x-expires=1746172800&x-signature=UnKSjBNHrpssPUqz7P8X6uHD%2FW4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457460715004986113,1736325399,2025-01-08T08:36:39.000Z,66,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,26.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,welcome total football🔥🔥🔥,7248499799660528641,mbutmbutzsd,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,welcome total football,positif
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7aae8105e00c5f756051d9c544a15258~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=fd441e61&x-expires=1746172800&x-signature=c6aduFIjoxtt3GZzD6XPXrvlpJw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457512245037155079,1736337391,2025-01-08T11:56:31.000Z,38,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,15.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,bagus san shin tae young dari pada Patrick Kluivert,7440704966018434065,zamm_anak_baikkk,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,bagus san shin tae young patrick kluivert,positif
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/59a19f2b287551a7acc1b0c67bbfc4d8~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=ad114d16&x-expires=1746172800&x-signature=pixrkUXjdIPRFFe%2BX0MIGwWDuvE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7483831980595348241,1742465447,2025-03-20T10:10:47.000Z,12,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,3.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,Patrick kluivert out,6818462647451173890,nwnputra,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,patrick kluivert out,negatif
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/51e457dd3382ed94bf8b73d93095d77f~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=b860f4c0&x-expires=1746172800&x-signature=7Z7Y4IORvjZmfKywBQvFkkf9PN8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457452086936322822,1736325179,2025-01-08T08:32:59.000Z,276,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,53.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,"SELAMAT TINGGAL PARKIR BUSS
WELCOME TOTAL FOOTBALL",7209149817140937734,rifkiino77,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,selamat tinggal parkir buss welcome total football,netral
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c3ca3ac97cf17abd124c81b7723e12d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=4ffb090e&x-expires=1746172800&x-signature=UVho23%2F%2Ff1tb7xbt1vYUy0qSwbc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457459911572816660,1736325202,2025-01-08T08:33:22.000Z,24,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,4.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,welcoma patrick ❤,6550663549294854146,chelseafams1,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,welcoma patrick,netral
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cacaf7f24509fc1e1e1b90ca27a7d565~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=8be7ed09&x-expires=1746172800&x-signature=JmOTuh0yz86%2FMo2YIwXjt8YLkYE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7457461709990675218,1736325629,2025-01-08T08:40:29.000Z,24,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,False,False,,21.0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,"goodbye sty
welcome pk",6932603242023666690,oiiiiiii306,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,goodbye sty welcome pk,positif
